subject,idna_subject,expiration_date,epoch,registrar
boaphoot.com,boaphoot.com,11-jan-2025,1736553600.0,"URL Solutions, Inc."
bonertraffic.mobi,bonertraffic.mobi,08-jun-2025,1749340800.0,"NameCheap, Inc."
bonneval-sur-arc.com,bonneval-sur-arc.com,13-oct-2024,1728777600.0,OVH sas
bonprix.pl,bonprix.pl,09-aug-2024,1723161600.0,
bookmakers.click,bookmakers.click,12-nov-2024,1731369600.0,"eNom, Inc."
booshoune.com,booshoune.com,30-jul-2024,1722297600.0,"URL Solutions, Inc."
boostbox.com.br,boostbox.com.br,23-mar-2025,1742688000.0,
booster.monster,booster.monster,24-oct-2024,1729728000.0,Namecheap
bitterstrawberry.com,bitterstrawberry.com,11-jun-2025,1749600000.0,"NameCheap, Inc."
boston.com,boston.com,07-apr-2027,1807056000.0,"Name106, Inc."
bordeaux-metropole.fr,bordeaux-metropole.fr,09-sep-2024,1725840000.0,ALIENOR.NET
brainnordic.com,brainnordic.com,22-may-2025,1747872000.0,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA"
bouygues.com,bouygues.com,30-dec-2024,1735516800.0,OVH sas
brightdata.com,brightdata.com,26-may-2028,1842912000.0,"GoDaddy.com, LLC"
brtenusjkmgyb.com,brtenusjkmgyb.com,21-aug-2024,1724198400.0,"URL Solutions, Inc."
bruceleadx1.com,bruceleadx1.com,09-apr-2025,1744156800.0,Gname.com Pte. Ltd.
btob-deals.co.uk,btob-deals.co.uk,13-nov-2025,1762992000.0,
btob-afaceri.ro,btob-afaceri.ro,27-may-2025,1748304000.0,Nameshield
bulletprofitads.com,bulletprofitads.com,11-oct-2024,1728604800.0,Mypreciousdomain.com LLC
buoyant-quote.pro,buoyant-quote.pro,17-jun-2025,1750118400.0,CommuniGal Communication Ltd.
buranablated.digital,buranablated.digital,21-aug-2024,1724198400.0,"URL Solutions, Inc."
business-deal.fr,business-deal.fr,08-sep-2024,1725753600.0,NAMESHIELD
buqajvxicma.com,buqajvxicma.com,02-dec-2024,1733097600.0,"SNAPNAMES 49, LLC"
business-quotes.co.uk,business-quotes.co.uk,23-jan-2025,1737590400.0,
buzzoola.com,buzzoola.com,11-aug-2026,1786406400.0,"Regional Network Information Center, JSC dba RU-CENTER"
bwbmyzvjnqlwv.top,bwbmyzvjnqlwv.top,20-aug-2024,1724112000.0,URL Solutions Inc.
cad-magazine.com,cad-magazine.com,20-mar-2025,1742428800.0,Gandi SAS
calvali.com,calvali.com,06-mar-2025,1741219200.0,1API GmbH
campaign-statistics.com,campaign-statistics.com,27-feb-2025,1740614400.0,"CloudFlare, Inc."
campaignmonitor.com,campaignmonitor.com,17-mar-2025,1742169600.0,MarkMonitor Inc.
canalplus-afrique.com,canalplus-afrique.com,21-sep-2024,1726876800.0,NAMESHIELD SAS
canalplus-caledonie.com,canalplus-caledonie.com,28-jan-2025,1738022400.0,NAMESHIELD SAS
canalplus-reunion.com,canalplus-reunion.com,28-jan-2025,1738022400.0,NAMESHIELD SAS
canalpro.fr,canalpro.fr,18-mar-2025,1742256000.0,NAMESHIELD
c0c.xyz,c0c.xyz,31-may-2025,1748649600.0,Namecheap
candypeaches.com,candypeaches.com,02-apr-2025,1743552000.0,DropCatch.com 775 LLC
capitalaudience.com,capitalaudience.com,11-apr-2026,1775865600.0,"GoDaddy.com, LLC"
carfulsranquel.com,carfulsranquel.com,08-nov-2024,1731024000.0,"URL Solutions, Inc."
cash-ads.com,cash-ads.com,27-mar-2025,1743033600.0,"PSI-USA, Inc. dba Domain Robot"
catchmedia.com,catchmedia.com,02-dec-2025,1764633600.0,"GoDaddy.com, LLC"
cbdedibles.site,cbdedibles.site,13-jan-2025,1736726400.0,Dynadot LLC
cdn-image.com,cdn-image.com,18-feb-2025,1739836800.0,PDR Ltd. d/b/a PublicDomainRegistry.com
cdntechone.com,cdntechone.com,24-dec-2024,1734998400.0,"URL Solutions, Inc."
cellrebel.com,cellrebel.com,07-sep-2024,1725667200.0,"CSC Corporate Domains, Inc."
cerel.net,cerel.net,22-oct-2024,1729555200.0,Gandi SAS
cgmission.com,cgmission.com,21-jul-2024,1721520000.0,"GoDaddy.com, LLC"
chazmedia.solutions,chazmedia.solutions,25-may-2025,1748131200.0,"NameCheap, Inc."
celltick.com,celltick.com,05-nov-2024,1730764800.0,"GoDaddy.com, LLC"
choobinoobi.com,choobinoobi.com,24-jun-2025,1750723200.0,Tucows Domains Inc.
choregygables.life,choregygables.life,28-jul-2024,1722124800.0,"URL Solutions, Inc."
chewsrompedhemp.com,chewsrompedhemp.com,20-oct-2024,1729382400.0,"URL Solutions, Inc."
